ip-addr;port;acl_name;specify;context;source;destination;eq;other
192.168.1.200;32772;test;permit;ip;192.168.1.1/20;123.1.1.1/3;;deny
;;;deny;ospf;1.1.1.1/23;54.4.5.2/6;;
;;;permit;tcp;1.2.3.4/23;4.6.7.9/2;3;
;;;deny;udp;any;any;432;
;;quest;permit;ip;192.168.1.1/20;123.1.1.1/3;;permit
;;;deny;ospf;1.1.1.1/23;54.4.5.2/6;;
;;;permit;tcp;1.2.3.4/23;4.6.7.9/2;3;
;;;permit;udp;any;any;432;
;;;deny;udp;any;any;;
;;qwe;deny;ip;192.168.1.2/23;any;;permit
192.168.1.200;32774;test;permit;ip;192.168.1.1/20;123.1.1.1/3;;permit
;;;deny;ospf;1.1.1.1/23;54.4.5.2/6;;
;;;permit;tcp;1.2.3.4/23;4.6.7.9/2;3;
;;;deny;udp;any;any;432;
;;test34;permit;ip;192.168.1.1/20;123.1.1.1/3;;deny
;;;deny;ospf;1.1.1.1/23;54.4.5.2/6;;
;;;permit;tcp;1.2.3.4/23;4.6.7.9/2;3;
;;;deny;udp;any;any;432;
;;quest;permit;ip;192.168.1.1/20;123.1.1.1/3;;permit
;;;deny;ospf;1.1.1.1/23;54.4.5.2/6;;
;;;permit;tcp;1.2.3.4/23;4.6.7.9/2;3;
;;;permit;udp;any;any;432;
;;;deny;udp;any;any;;
;;qwe;deny;ip;192.168.1.2/23;any;;permit
192.168.1.200;32770;test;permit;ip;192.168.1.1/20;123.1.1.1/3;;permit
;;;deny;ospf;1.1.1.1/23;54.4.5.2/6;;
;;;permit;tcp;1.2.3.4/23;4.6.7.9/2;3;
;;;deny;udp;any;any;432;
;;asd;permit;ip;192.168.1.1/20;123.1.1.1/3;;permit
;;;deny;ospf;1.1.1.1/23;54.4.5.2/6;;
;;;permit;tcp;1.2.3.4/23;4.6.7.9/2;3;
;;;deny;udp;any;any;432;
;;test34;permit;ip;192.168.1.1/20;123.1.1.1/3;;deny
;;;deny;ospf;1.1.1.1/23;54.4.5.2/6;;
;;;permit;tcp;1.2.3.4/23;4.6.7.9/2;3;
;;;deny;udp;any;any;432;
;;quest;permit;ip;192.168.1.1/20;123.1.1.1/3;;permit
;;;deny;ospf;1.1.1.1/23;54.4.5.2/6;;
;;;permit;tcp;1.2.3.4/23;4.6.7.9/2;3;
;;;permit;udp;any;any;432;
;;;deny;udp;any;any;;
;;qwe;deny;ip;192.168.1.2/23;any;;permit
