<<<<<<< HEAD
ip;port;iface;vlan;units;vlan_name;type_of_port;els
192.168.1.200;32774;0/0/0;11;;test_11;untagged;1
192.168.1.200;;0/0/1;12;;test_12;tagged;1
192.168.1.200;;0/0/1;13;;test_13;tagged;1
192.168.1.200;;0/0/3;14;;test_14;untagged;1
192.168.1.200;;0/0/4;15;;test_15;untagged;1
192.168.1.200;;0/0/5;16;;test_16;untagged;1
192.168.1.200;;0/0/6;17;;test_17;untagged;1
192.168.1.200;;0/0/7;18;;test_18;untagged;1
192.168.1.200;;0/0/8;19;;test_19;untagged;1
192.168.1.200;;0/0/9;20;;test_20;untagged;1
192.168.1.200;32778;0/0/1;12;1;TEST;tagged;
192.168.1.200;32779;0/1;359;7;qwefa;tagged;
192.168.1.200;32770;0/0;5;;test_5;untagged;
192.168.1.200;;0/1;6;;test_6;untagged;
192.168.1.200;;0/2;7;;test_7;untagged;
192.168.1.200;;0/3;8;;test_8;untagged;
192.168.1.200;32772;1;21;;test_21;untagged;
192.168.1.200;;2;22;;test_22;untagged;
192.168.1.200;;3;23;;test_23;untagged;
=======
ip;port;iface;vlan;units;vlan_name;type_of_port;els
192.168.1.200;32774;0/0/0;11;;test_11;untagged;1
192.168.1.200;;0/0/1;12;;test_12;tagged;1
192.168.1.200;;0/0/1;13;;test_13;tagged;1
192.168.1.200;;0/0/3;14;;test_14;untagged;1
192.168.1.200;;0/0/4;15;;test_15;untagged;1
192.168.1.200;;0/0/5;16;;test_16;untagged;1
192.168.1.200;;0/0/6;17;;test_17;untagged;1
192.168.1.200;;0/0/7;18;;test_18;untagged;1
192.168.1.200;;0/0/8;19;;test_19;untagged;1
192.168.1.200;;0/0/9;20;;test_20;untagged;1
192.168.1.200;32778;0/0/1;12;1;TEST;tagged;
192.168.1.200;32779;0/1;359;7;qwefa;tagged;
192.168.1.200;32770;0/0;5;;test_5;untagged;
192.168.1.200;;0/1;6;;test_6;untagged;
192.168.1.200;;0/2;7;;test_7;untagged;
192.168.1.200;;0/3;8;;test_8;untagged;
192.168.1.200;32772;1;21;;test_21;untagged;
192.168.1.200;;2;22;;test_22;untagged;
192.168.1.200;;3;23;;test_23;untagged;
>>>>>>> f20de217c5afcf3d21aca26a06ebd309720f292c
